,0,1
0,Abscess,Infectious Disease Specialist
1,Acoustic Neuroma,Neurosurgeon
2,Acute Kidney Failure,Nephrologist
3,Acute Sinusitis,Otolaryngologist
4,Acute Stress Reaction,Psychiatrist
5,Adhd,Anesthesiologist
6,Agoraphobia,Psychiatrist
7,Alcohol Intoxication,Sleep Medicine Specialist
8,Anemia,Hematologist
9,Anemia (Chronic Disease),Hematologist
11,Anemia (Hemolytic),Hematologist
12,Anemia (Iron Deficiency),Hematologist
13,Anorexia Nervosa,Hematologist
14,Anthrax,Dermatologist
15,Aortic Aneurysm,Psychiatrist
16,Aortic Regurgitation,Otolaryngologist
17,Asperger Syndrome,Neurologist
18,Aspirin Poisoning,Allergist
19,Aspirin Use,Otolaryngologist
20,Atrial Fibrillation,Nephrologist
21,Autism,Neurologist
22,Bacterial Pneumonia,Infectious Disease Specialist
23,Benzodiazepine Abuse,Cardiologist
24,Bipolar Disorder,Podiatrist
25,Bird Flu,General Physician
26,Blood Clotting Disorder,Sleep Medicine Specialist
27,Brain Infection,Neurosurgeon
28,Brain Tumor,Neurosurgeon
29,Bronchial Adenoma,Sports Medicine Specialist
30,Bulimia,Medical Geneticist
31,Caffeine Withdrawal,Gynecologist
32,Carbon Monoxide Poisoning,Gastroenterologist
33,Cat-Scratch Disease,Dermatologist
34,Cervical Spondylosis,Sleep Medicine Specialist
35,Chagas Disease,Sports Medicine Specialist
36,Chemical Burns,Podiatrist
37,Chronic Fatigue Syndrome,Psychiatrist
38,Chronic Kidney Disease,Nephrologist
39,Chronic Obstructive Pulmonary Disease (Copd),Anesthesiologist
40,Chronic Sinusitis,Otolaryngologist
41,Cirrhosis,Geriatric Medicine Specialist
42,Cocaine Abuse,Hematologist
43,Cocaine Withdrawal,Osteopath
44,Cold Exposure,Otolaryngologist
45,Constipation,Urologist
46,Coxsackie Virus Infection,Infectious Disease Specialist
47,Crohn'S Disease,Osteopath
48,Cryptococcosis,Critical Care Medicine Specialist
49,Cushing'S Syndrome,Palliative Medicine Specialist
50,Cyanide Poisoning,Critical Care Medicine Specialist
51,Cystic Fibrosis,Urologist
